OK 121ms 52.195.12.44:18442 cached
OK 117ms 178.72.147.249:4100 cached
OK 119ms 185.185.69.26:2200 cached
OK 26ms 195.211.99.49:443 cached
OK 257ms 134.122.154.210:443 cached
OK 98ms 178.104.202.46:4433 cached
OK 68ms 108.165.189.88:443 cached
OK 179ms 193.187.95.124:443 cached
OK 515ms 103.106.229.190:13898 cached
OK 287ms 103.106.229.190:19261 cached
OK 152ms 103.75.118.228:11452 cached
OK 152ms 103.75.118.228:12683 cached
OK 240ms 3.0.111.82:10574 cached
OK 247ms 3.0.111.82:12972 cached
OK 236ms 3.0.111.82:17623 cached
OK 165ms 3.114.220.22:10583 cached
OK 156ms 3.114.220.22:18007 cached
OK 154ms 3.114.220.22:19645 cached
OK 46ms 67.220.73.204:16016 cached
OK 65ms 67.220.73.204:18662 cached
OK 175ms 54.254.51.144:52457 cached
OK 86ms 194.55.189.249:40443 cached
OK 119ms 65.109.215.50:39633
OK 127ms 194.26.229.122:2200 cached
OK 109ms 150.251.114.43:443 cached
OK 174ms 83.147.246.153:2200 cached
OK 97ms 164.90.166.120:443 cached
OK 92ms 164.90.217.130:443 cached
OK 98ms 46.101.196.101:2096 cached
OK 90ms 68.183.65.82:2083 cached
OK 94ms 68.183.65.82:443 cached
OK 6ms 8.39.125.152:8443 cached
OK 156ms 139.28.169.107:2046 cached
OK 173ms 208.123.190.14:2046 cached
OK 127ms 194.26.229.214:4100 cached
OK 116ms 85.192.49.141:443 cached
OK 6ms 69.46.46.22:443 cached
OK 93ms 23.251.47.71:443 cached
OK 107ms 18.183.215.124:28573 cached
OK 107ms 2.26.255.36:8443 cached
OK 227ms 195.172.139.150:23816 cached
OK 468ms node.qingyi668.biz:23816 cached
OK 88ms 152.70.58.201:443 cached
OK 177ms 35.78.59.6:47571 cached
OK 122ms 31.76.80.69:2053 cached
OK 119ms 31.76.80.69:443 cached
OK 86ms 150.251.145.217:443
OK 6ms 8.47.69.6:2053 cached
OK 5ms 8.6.112.6:2053 cached
OK 176ms 52.221.220.242:22872 cached
OK 87ms 94.241.174.157:40443 cached
OK 20ms 34.222.2.182:50159 cached
OK 507ms s677.ccgfw.top:443 cached
OK 475ms s678.ccgfw.top:443 cached
OK 97ms 77.110.103.49:8444 cached
OK 6ms 8.6.112.0:443 cached
OK 107ms 57.180.21.90:32114 cached
OK 86ms 72.56.117.75:443 cached
OK 12ms 79.127.243.217:443 cached
OK 61ms 192.241.229.131:74 cached
OK 95ms 144.31.125.60:443 cached
OK 117ms 2.26.91.98:1443 cached
OK 222ms 175.41.179.37:51262 cached
OK 174ms 172.111.146.64:80 cached
OK 159ms 217.60.33.23:8943 cached
OK 180ms 46.243.235.64:443 cached
OK 179ms 46.243.235.64:8443 cached
OK 180ms 46.243.235.77:443 cached
